KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
AlienBlocks,Alien Hull Blocks,,,,,,,,Строительные блоки инопланетян,,,,,,,,
AlienFull,Xenomaterial,,,,,,,,Ксеноматериал,,,,,,,,
AlienThin,Xenomaterial,,,,,,,,Ксеноматериал,,,,,,,,
ConcreteDestroyedBlocks,Concrete Blocks (Damaged),,,,,,,,Бетонные блоки - разбитые,,,,,,,,
ConcreteFullDestroyed,Concrete Block (Damaged),,,,,,,,Бетонный блок - разбитый,,,,,,,,
ConcreteThinDestroyed,Concrete Thin Block (Damaged),,,,,,,,Бетонные блоки (тонкие) - разбитые,,,,,,,,
ConcreteBlocks,Concrete Blocks,,,,,,,,Бетонные блоки,,,,,,,,
ConcreteFull,Concrete Block,,,,,,,,Бетонный блок,,,,,,,,
ConcreteThin,Concrete Thin Block,,,,,,,,Бетонный блок,,,,,,,,
ConcreteThinBlocks,Concrete Thin Blocks,,,,,,,,Бетонные блоки (тонкие),,,,,,,,
GrowingPot,Hydroponics Unit (Steel),,,,,,,,Растительный модуль (Сталь),,,,,,,,
GrowingPotConcrete,Hydroponics Unit (Concrete),,,,,,,,Растительный модуль (Бетон),,,,,,,,
GrowingPotWood,Hydroponics Unit (Wood),,,,,,,,Растительный модуль (Дерево),,,,,,,,
HullArmoredLargeBlocks,Hardened Steel Blocks (Large),,,,,,,,Прочные стальные блоки Б,,,,,,,,
HullArmoredSmallBlocks,Hardened Steel Blocks (Small),,,,,,,,Прочные стальные блоки М,,,,,,,,
HullArmoredFullLarge,Hardened Steel Block (Large),,,,,,,,Блок Закаленной Стали (Большой),,,,,,,,
HullArmoredFullSmall,Hardened Steel Block (Small),,,,,,,,Прочный стальной блок М,,,,,,,,
HullArmoredThinLarge,Hardened Steel Block (Large),,,,,,,,Блок Закаленной Стали (Большой),,,,,,,,
HullArmoredThinLargeBlocks,Hardened Steel Thin Blocks (Large),,,,,,,,Прочные стальные блоки Б (тонкие),,,,,,,,
HullArmoredThinSmall,Hardened Steel Block (Small),,,,,,,,Прочный стальной блок М,,,,,,,,
HullArmoredThinSmallBlocks,Hardened Steel Thin Blocks (Small),,,,,,,,Прочные стальные блоки М (тонкие),,,,,,,,
HullCombatFullLarge,Combat Steel Block (Large),,,,,,,,Блок Оружейной Стали (Большой),,,,,,,,
HullCombatLargeBlocks,Combat Steel Blocks (Large),,,,,,,,Блоки из оружейной стали Б,,,,,,,,
HullCombatThinLarge,Combat Steel Block (Large),,,,,,,,Блок Оружейной Стали (Большой),,,,,,,,
HullCombatThinLargeBlocks,Combat Steel Thin Blocks (Large),,,,,,,,Блоки из оружейной стали Б (тонкие),,,,,,,,
HullCombatSmallBlocks,Combat Steel Blocks (Small),,,,,,,,Блоки оружейной стали М,,,,,,,,
HullCombatFullSmall,Combat Steel Block (Small),,,,,,,,Блок оружейной стали М,,,,,,,,
HullCombatThinSmall,Combat Steel Thin Block (Small),,,,,,,,Блок оружейной стали М (тонкий),,,,,,,,
PlasticSmallBlocks,Carbon Fiber Blocks (Small),,,,,,,,Блоки Углеволокна (Маленькие),,,,,,,,
PlasticLargeBlocks,Carbon Fiber Blocks (Large),,,,,,,,Углеродные Композитные Блоки Б,,,,,,,,
PlasticFullLarge,Carbon Fiber Block (Large),,,,,,,,Углеродный Композитный Блок Б,,,,,,,,
PlasticThinLarge,Carbon Fiber Thin Block (Large),,,,,,,,Углеродный Композитный Блок Б (тонкий),,,,,,,,
PlasticFullSmall,Carbon Fiber Block (Small),,,,,,,,Углеродный Композитный Блок М,,,,,,,,
PlasticThinSmall,Carbon Fiber Thin Block (Small),,,,,,,,Углеродный Композитный Блок М (тонкий),,,,,,,,
HullDestroyed,Steel Blocks (Damaged),,,,,,,,Стальные блоки - разбитые,,,,,,,,
HullFull,Steel Block,,,,,,,,Стальной Блок,,,,,,,,
HullFullLarge,Steel Block (Large),,,,,,,,Стальной блок Б,,,,,,,,
HullFullLargeDestroyed,Steel Block (Large) - Damaged,,,,,,,,Стальной блок Б - разбитый,,,,,,,,
HullFullSmall,Steel Block (Small),,,,,,,,Блок Стали (Маленький),,,,,,,,
HullFullSmallDestroyed,Steel Block (Small) - Damaged,,,,,,,,Стальной блок М - разбитый,,,,,,,,
HullLargeBlocks,Steel Blocks (Large),,,,,,,,Стальные блоки Б,,,,,,,,
HullLargeDestroyedBlocks,Steel Blocks (Large) - Damaged,,,,,,,,Стальные блоки Б - разбитые,,,,,,,,
HullSmallBlocks,Steel Blocks (Small),,,,,,,,Стальные блоки М,,,,,,,,
HullSmallDestroyedBlocks,Steel Blocks (Small) - Damaged,,,,,,,,Стальные блоки М - разбитые,,,,,,,,
HullThin,Steel Block,,,,,,,,Стальной Блок,,,,,,,,
