KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
pda_iG40h,[b]Prologue:[/b] [b][c][00fbff]Journey into the unknown[-][/c][/b],,,,,,,,[b]Пролог:[/b] [b][c][00fbff]Путешествие в неизвестность[-][/c][/b],,,,,,,,
pda_mKuKK,"[b][c][00fbff]Prologue: Journey into the unknown[-][/c][/b]\n\nYou crawl from the wreckage of your escape pod to find yourself injured and alone on an unknown world.\nWith no memory of how you got here and little at your disposal, the crackling of your suit's radio puts you on the path toward answers somewhere out in the wilderness of this alien planet.",,,,,,,,"[b][c][00fbff]Пролог: Путешествие в неизвестное[-][/c][/b]\n\nВы выползаете из обломков вашего спасательного модуля и обнаруживаете себя раненым и одиноким на неизвестной планете.\nУ вас нет памяти о том, как вы здесь оказались, и мало ресурсов под рукой. Треск радио в вашем скафандре направляет вас на путь к ответам где-то в дикости этого чужого мира.",,,,,,,,
pda_isaCK,"[b][c][00fbff]Prologue: Journey into the unknown[-][/c][/b]\n\nYou've awoken in a damaged escape pod, injured and alone after it's plummeted through the atmosphere of an unknown world.\nWith no memory of how you got here and little at your disposal, the crackling of your suit's radio puts you on the path toward answers somewhere out in the wilderness of this alien planet.\n\n***\n[c][1083fe]This is the beginning of the main Empyrion Storyline[-][/c]",,,,,,,,"[b][c][00fbff]Пролог: Путешествие в неизвестность[-][/c][/b]\n\nВы проснулись в поврежденном спасательном модуле, раненый и одинокий после того, как он пронесся через атмосферу неизвестного мира.\nНе имея воспоминаний о том, как вы сюда попали, и с небольшим количеством ресурсов в вашем распоряжении, треск радио вашего костюма ставит вас на путь к ответам где-то в дикой природе этой инопланетной планеты.\n\n***\n[c][1083fe]Это начало основной сюжетной линии Empyrion[-][/c]",,,,,,,,
pda_4uW88,"[b][c][ff0000]Important !![-][/c][/b]\nYou can activate the main storyline missions via PDA (F1) at any time.\n\nPlease bear in mind, the storyline consists of consecutively linked chapters. Starting the storyline while having played for a while, sometimes might lead to its missions, related POI and the order of events [u]not working as expected anymore[/u].",,,,,,,,"[b][c][ff0000]Важно !![-][/c][/b]\nВы можете активировать основные миссии сюжета через ПДА (F1) в любое время.\n\nПожалуйста, учтите, что сюжет состоит из последовательно связанных глав. Начало сюжета после некоторого времени игры иногда может привести к тому, что его миссии, связанные точки интереса и порядок событий [u]не будут работать так, как ожидалось[/u].",,,,,,,,
pda_t8uSu,A whole new world,,,,,,,,Целый новый мир,,,,,,,,
pda_OHW4q,Recollections,,,,,,,,Воспоминания,,,,,,,,
pda_gLC84,===,,,,,,,,===,,,,,,,,
pda_44CuO,Wh... What happened to the station?! To the Crew?!\nI've got to contact the fleet!,,,,,,,,Чт... Что случилось со станцией?! С Экипажем?!\nЯ должен связаться с флотом!,,,,,,,,
pda_m00mm,Transmitting,,,,,,,,Передача,,,,,,,,
pda_40bGa,Static,,,,,,,,Статический,,,,,,,,
pda_cVmKO,===,,,,,,,,===,,,,,,,,
pda_r08G8,[b][c][a1a1a1]< Radio Static >[-][/c][/b],,,,,,,,[b][c][a1a1a1]< Радио Статика >[-][/c][/b],,,,,,,,
pda_8SOmG,The Signal,,,,,,,,Сигнал,,,,,,,,
pda_4W48m,Unknown Source,,,,,,,,Неизвестный источник,,,,,,,,
pda_2SmuW,===,,,,,,,,===,,,,,,,,
pda_u0u8q,[b][c][a1a1a1]< Static > [-][/c][c][00e1ff]...ntelli...data...signal...radi...cal...ration...assist...transm...on...oceed...[-][/c][c][a1a1a1] < Static >[-][/c][/b],,,,,,,,[b][c][a1a1a1]< Статика > [-][/c][c][00e1ff]...нтелли...данные...сигнал...радио...калькуляция...ассистент...трансмиссия...он...процесс...[-][/c][c][a1a1a1] < Статика >[-][/c][/b],,,,,,,,
pda_m4We4,Hope rising,,,,,,,,Надежда растёт,,,,,,,,
pda_Cui84,Boosting the signal,,,,,,,,Усиление сигнала,,,,,,,,
pda_sWeam,===,,,,,,,,===,,,,,,,,
pda_e0m8O,But I can't understand what they're saying.\nI need some way to clean up their transmission...\n\nThere's probably [c][fbff00]an Antenna[-][/c] among some of the wreckage on the ground that I can use to boost the signal strength. It's just a matter of finding a functional device.,,,,,,,,"Но я не могу понять, что они говорят.\nМне нужно как-то очистить их передачу...\n\nСкорее всего [c][fbff00]антенна[-][/c] среди обломков на земле, которую я могу использовать для усиления сигнала. Это просто вопрос найти рабочее устройство.",,,,,,,,
pda_mS0u0,MacGyver,,,,,,,,МакГайвер,,,,,,,,
pda_uqiiG,Find a usable antenna among the wreckage,,,,,,,,Найди пригодный [i]Антенный Шпиль[/i] среди обломков,,,,,,,,
pda_WG08Y,Somewhere in this wreckage is a UCH Antenna I can use to boost the gain of my suit's radio.\n\n[c][ff0000][b]This mission can only be completed on the default starting planets at the crash site[/b][-][/c],,,,,,,,"Где-то в этом обломке есть антенна UCH, которую я могу использовать для усиления сигнала радио моего костюма.\n\n[c][ff0000][b]Это задание можно выполнить только на стартовых планетах по умолчанию на месте крушения[/b][-][/c]",,,,,,,,
pda_iqSK4,That [i]looks [/i]like an Antenna off a UCH Crusader-Class Frigate!\nThat [i]should [/i]be able to do the job it if it's not too damaged.,,,,,,,,"То [i]выглядит[/i] как Антенна с ОСЧ Крейсера-Класса Фрегата!\nЭто [i]должно[/i] быть в состоянии справиться с работой, если оно не слишком повреждено.",,,,,,,,
pda_0kOaC,Send and Receive,,,,,,,,Отправлять и Получать,,,,,,,,
pda_eiClS,Excavate the Port on the Antenna,,,,,,,,Выкопайте порт на Антенном Шпиле,,,,,,,,
pda_Be0uK,===,,,,,,,,===,,,,,,,,
pda_uOCSK,Transmission Test,,,,,,,,Передача тест,,,,,,,,
pda_ii0e0,Receiving Transmission,,,,,,,,Прием передачи,,,,,,,,
pda_Cn4Wm,Datalink connection test,,,,,,,,Связь с даталинком,,,,,,,,
pda_0KRGG,"[c][8ab3ff]Loud and clear, Ida.[-][/c]\n[c][8ab3ff]And how are you on this fine, sunny day?[-][/c]",,,,,,,,"[c][8ab3ff]Громко и четко, Ида.[-][/c]\n[c][8ab3ff]А как вы в этот прекрасный, солнечный день?[-][/c]",,,,,,,,
pda_8ieqC,Comedy Routine,,,,,,,,Комедийный номер,,,,,,,,
pda_aGi4C,Void of jokes,,,,,,,,Пустота шуток,,,,,,,,
pda_m0ai0,Datalink connection test,,,,,,,,Связь с даталинком,,,,,,,,
pda_eqqm0,"[c][8ab3ff]Relax, Ida.[-][/c]\n[c][8ab3ff]I thought you new-model AIs were capable of learning and empathy.[-][/c]\n\n[c][8ab3ff]I'm just... trying to stay positive here... and I figured you could do with a laugh too.[-][/c]",,,,,,,,"[c][8ab3ff]Расслабься, Ида.[-][/c]\n[c][8ab3ff]Я думал, что новые модели ИИ способны к обучению и эмпатии.[-][/c]\n\n[c][8ab3ff]Я просто... пытаюсь оставаться позитивным... и подумал, что тебе тоже не помешает хорошее настроение.[-][/c]",,,,,,,,
pda_4Sa0G,A New Parameter,,,,,,,,Новый параметр,,,,,,,,
pda_d8Nm0,Into the Unknown,,,,,,,,В Неизвестность,,,,,,,,
pda_0ZCqe,===,,,,,,,,===,,,,,,,,
pda_8Quxi,"[c][8ab3ff]Glad to hear it, Ida![-][/c]\n\n[c][8ab3ff]I guess it's time we set out on our journey into the unknown...[-][/c]",,,,,,,,"[c][8ab3ff]Рад слышать это, Ида![-][/c]\n\n[c][8ab3ff]Думаю, пора нам отправиться в наш путь в неизвестность...[-][/c]",,,,,,,,
pda_u8qi4,[b]Chapter 1:[/b] [b][c][00fbff]Human Debris[-][/c][/b],,,,,,,,[b]Глава 1:[/b] [b][c][00fbff]Человеческий мусор[/c][/b],,,,,,,,
